validation_season,rank,strategy,protocol,family,calibration,n,target_rate,prediction_mean,prediction_std,brier,reference_brier,raw_skill,competition_score,log_loss,roc_auc,linear_weight
2022,20,frozen__ensemble__post_isotonic,frozen,ensemble,post_isotonic,247472,0.5289204435249241,0.5311852197711688,0.0619691204676442,0.2451517374864889,0.24916360794632167,0.01610135000411883,1610.135000411883,0.6834180758993873,0.5698117845402478,0.3625094970916247
2022,21,frozen__ensemble__post_affine_brier,frozen,ensemble,post_affine_brier,247472,0.5289204435249241,0.5295083152122473,0.0592496206367166,0.2452323948390378,0.24916360794632167,0.015777637591966376,1577.7637591966377,0.6834821070693301,0.5699729840974004,0.3625094970916247
2022,22,frozen__ensemble__post_platt,frozen,ensemble,post_platt,247472,0.5289204435249241,0.5295114572739061,0.059341168623363104,0.24524000057338793,0.24916360794632167,0.015747112530891783,1574.7112530891782,0.6834985616375916,0.5699729840974004,0.3625094970916247
2022,23,refit__ensemble__raw_fixed_l90,refit,ensemble,none,247472,0.5289204435249241,0.5234986106771475,0.043222483688813235,0.24529082335219354,0.24916360794632167,0.015543139008335705,1554.3139008335704,0.6836018703176302,0.5699122310195618,0.9
2022,24,frozen__linear__isotonic,frozen,linear,isotonic,247472,0.5289204435249241,0.517543347299294,0.06640781956927413,0.2453792824101987,0.24916360794632167,0.015188115019341919,1518.811501934192,0.6841028366643301,0.5654375631652302,
2022,25,frozen__ensemble__members_logit_intercept,frozen,ensemble,members_logit_intercept,247472,0.5289204435249241,0.5291214768466495,0.041933891802408384,0.24553859709790493,0.24916360794632167,0.014548717119225896,1454.8717119225896,0.6841348431997656,0.5709433501153004,0.4542391207486333
2022,26,frozen__linear__affine_brier,frozen,linear,affine_brier,247472,0.5289204435249241,0.5139907970876552,0.06545530521740976,0.24555575608096508,0.24916360794632167,0.01447985078998315,1447.985078998315,0.6841178143293374,0.5655857037668628,
2022,27,frozen__linear__platt,frozen,linear,platt,247472,0.5289204435249241,0.5135930348219363,0.06536935995409837,0.2455663414389865,0.24916360794632167,0.014437367226236897,1443.7367226236897,0.6841333659302312,0.5655857037668628,
2022,28,refit__linear__platt,refit,linear,platt,247472,0.5289204435249241,0.5483658428851691,0.06904724749188773,0.24558028316767164,0.24916360794632167,0.014381413113194297,1438.1413113194296,0.6841666649169149,0.5664907192054024,
2022,29,frozen__ensemble__post_logit_intercept,frozen,ensemble,post_logit_intercept,247472,0.5289204435249241,0.5303493247527558,0.043782950893059,0.24558564670632163,0.24916360794632167,0.014359886941317956,1435.9886941317957,0.6842295998144611,0.5699729840974004,0.3625094970916247
2022,30,refit__linear__affine_brier,refit,linear,affine_brier,247472,0.5289204435249241,0.5487558442348538,0.07034092260156476,0.24560661060700287,0.24916360794632167,0.01427574985222202,1427.574985222202,0.6842669497713695,0.5664907192054024,
2022,31,frozen__ensemble__raw_weighted,frozen,ensemble,none,247472,0.5289204435249241,0.5201664240772299,0.04388874996041588,0.24565379625859307,0.24916360794632167,0.01408637367494181,1408.637367494181,0.6843802594565533,0.5699729840974004,0.3625094970916247
2022,32,frozen__ensemble__raw_equal,frozen,ensemble,none,247472,0.5289204435249241,0.5163065631682924,0.04121059628909126,0.24567833655537127,0.24916360794632167,0.01398788298049225,1398.788298049225,0.6844336052606755,0.5712927646216991,0.5
2022,33,refit__linear__raw,refit,linear,none,247472,0.5289204435249241,0.5225096654653683,0.040951917027784904,0.2457012553735444,0.24916360794632167,0.013895899972371506,1389.5899972371506,0.68444570349713,0.5664907192054024,
2022,34,refit__linear__isotonic,refit,linear,isotonic,247472,0.5289204435249241,0.5502044959368875,0.0758181973829782,0.24572803270986127,0.24916360794632167,0.013788431082602304,1378.8431082602303,0.6888938864035102,0.5663194332587663,
2022,35,refit__linear__logit_intercept,refit,linear,logit_intercept,247472,0.5289204435249241,0.5419826036357878,0.04061102258325044,0.24584807480664564,0.24916360794632167,0.013306650866888647,1330.6650866888647,0.6847082484465726,0.5664907192054024,
2022,36,frozen__linear__logit_intercept,frozen,linear,logit_intercept,247472,0.5289204435249241,0.521830285404149,0.037932346041849994,0.24595205806212175,0.24916360794632167,0.012889321641592955,1288.9321641592956,0.6849667881518169,0.5655857037668628,
2022,37,frozen__hgb__raw,frozen,hgb,none,247472,0.5289204435249241,0.5303433905392334,0.053464736068413385,0.24606329231970847,0.24916360794632167,0.012442891047239613,1244.2891047239614,0.6852083920784493,0.5637980864551457,
2022,38,frozen__ensemble__raw_fixed_l80,frozen,ensemble,none,247472,0.5289204435249241,0.5078844667457275,0.037959874805465116,0.24607525202106664,0.24916360794632167,0.01239489165657115,1239.4891656571149,0.6852376572933083,0.5703416373995621,0.8
2022,39,frozen__hgb__logit_intercept,frozen,hgb,logit_intercept,247472,0.5289204435249241,0.5351899667585583,0.05339049835524507,0.24610164408768637,0.24916360794632167,0.012288969018681706,1228.8969018681705,0.6852841573226081,0.5637980864551457,
2022,40,frozen__hgb__affine_brier,frozen,hgb,affine_brier,247472,0.5289204435249241,0.5351602910192889,0.0526864152680426,0.24610435908449702,0.24916360794632167,0.012278072576649035,1227.8072576649035,0.6852896526029991,0.5637980864551457,
2022,41,frozen__hgb__platt,frozen,hgb,platt,247472,0.5289204435249241,0.5351595174417294,0.052724981130514,0.2461048283194745,0.24916360794632167,0.01227618933622976,1227.6189336229759,0.6852905917131381,0.5637980864551457,
2022,42,frozen__hgb__isotonic,frozen,hgb,isotonic,247472,0.5289204435249241,0.5362268293624352,0.05650849913545923,0.24611936930976028,0.24916360794632167,0.012217830130382579,1221.7830130382579,0.6853264546932353,0.563594345968368,
2022,43,frozen__ensemble__raw_fixed_l90,frozen,ensemble,none,247472,0.5289204435249241,0.5050771012715393,0.03779269764458355,0.24631220533034798,0.24916360794632167,0.011443896801285658,1144.3896801285657,0.6857142258287501,0.5684243871904356,0.9
2022,44,frozen__linear__raw,frozen,linear,none,247472,0.5289204435249241,0.5022697357973511,0.03810755004558431,0.2466014827166542,0.24916360794632167,0.010282903072343696,1028.2903072343697,0.6862951585378515,0.5655857037668628,
2023,1,frozen__linear__raw,frozen,linear,none,245525,0.49995723449750534,0.5091942529676509,0.031731176369978506,0.2494562691878382,0.24999999817111176,0.002174915949004985,217.4915949004985,0.6920710399043323,0.5322639100811295,
2023,2,refit__linear__raw,refit,linear,none,245525,0.49995723449750534,0.5125786698618076,0.03237200906154569,0.24957374623096892,0.24999999817111176,0.0017050077730443869,170.50077730443869,0.6923122701679266,0.5321526134826622,
2023,3,frozen__ensemble__raw_fixed_l90,frozen,ensemble,none,245525,0.49995723449750534,0.5105278650617828,0.033017097833735055,0.24960471479749627,0.24999999817111176,0.0015811335060288423,158.11335060288422,0.6923742221119054,0.5312568393949779,0.9
2023,4,frozen__linear__logit_intercept,frozen,linear,logit_intercept,245525,0.49995723449750534,0.5156354269659417,0.031700962286294126,0.24961527450866594,0.24999999817111176,0.0015388946610411791,153.8894661041179,0.6923935159826807,0.5322639100811295,
2023,5,refit__ensemble__raw_fixed_l90,refit,ensemble,none,245525,0.49995723449750534,0.5134993695797745,0.03410386047551406,0.24973661324986354,0.24999999817111176,0.0010535396927001672,105.35396927001672,0.6926461735567705,0.5310646542805583,0.9
2023,6,refit__linear__logit_intercept,refit,linear,logit_intercept,245525,0.49995723449750534,0.5190163181899619,0.032332775933141086,0.24977577382308952,0.24999999817111176,0.0008968973986502871,89.68973986502871,0.6927223092192676,0.5321526134826622,
2023,7,frozen__ensemble__raw_fixed_l80,frozen,ensemble,none,245525,0.49995723449750534,0.5118614771559147,0.03492865897007366,0.24980333872213503,0.24999999817111176,0.0007866378016616604,78.66378016616605,0.692781481849018,0.5301123400929096,0.8
2023,8,frozen__linear__affine_brier,frozen,linear,affine_brier,245525,0.49995723449750534,0.5083544977903979,0.04900949568250463,0.24994573013221968,0.24999999817111176,0.00021707215715627282,21.70721571562728,0.6931156356516437,0.5322639100811295,
2023,9,refit__ensemble__raw_fixed_l80,refit,ensemble,none,245525,0.49995723449750534,0.5144200692977418,0.03651151679398714,0.24995606687531097,0.24999999817111176,0.00017572518448871755,17.572518448871755,0.6930981485163554,0.5299167231381785,0.8
2023,10,frozen__linear__platt,frozen,linear,platt,245525,0.49995723449750534,0.5083355198120538,0.0495692322052683,0.24996191746117954,0.24999999817111176,0.0001523228408432109,15.23228408432109,0.6931464667639776,0.5322639100811295,
2023,11,frozen__linear__isotonic,frozen,linear,isotonic,245525,0.49995723449750534,0.5080621850981415,0.047132167473783314,0.2501459073816116,0.24999999817111176,-0.0005836368462688313,0.0,0.6935667137032182,0.5320253785007734,
2023,12,refit__linear__affine_brier,refit,linear,affine_brier,245525,0.49995723449750534,0.5135818036812348,0.04999927578597045,0.25016257887858306,0.24999999817111176,-0.0006503228346426138,0.0,0.6935830322402472,0.5321526134826622,
2023,13,refit__linear__platt,refit,linear,platt,245525,0.49995723449750534,0.5136213902014712,0.05049824232801483,0.250175023053949,0.24999999817111176,-0.0007000995364705442,0.0,0.6936040056055266,0.5321526134826622,
2023,14,refit__linear__isotonic,refit,linear,isotonic,245525,0.49995723449750534,0.5130131255921905,0.04916128962751526,0.2503936046026298,0.24999999817111176,-0.001574425737590035,0.0,0.694110938583776,0.5322120759884059,
2023,15,frozen__ensemble__raw_equal,frozen,ensemble,none,245525,0.49995723449750534,0.5158623134383106,0.04346707095005008,0.250700280385936,0.24999999817111176,-0.0028011288797886724,0.0,0.694646277413301,0.5272289011614872,0.5
2023,16,refit__ensemble__raw_equal,refit,ensemble,none,245525,0.49995723449750534,0.5171821684516427,0.0466099873424236,0.25095394739097204,0.24999999817111176,-0.003815796907355784,0.0,0.6951863545888969,0.5273115158824996,0.5
2023,17,frozen__ensemble__members_platt,frozen,ensemble,members_platt,245525,0.49995723449750534,0.5184938547730127,0.06148299571514593,0.2528117691545357,0.24999999817111176,-0.011247084015974407,0.0,0.6992315637544846,0.5237215236693427,0.048434546167074134
2023,18,frozen__ensemble__members_affine_brier,frozen,ensemble,members_affine_brier,245525,0.49995723449750534,0.5185015486163694,0.061596489682025274,0.2528237345682642,0.24999999817111176,-0.011294945671238343,0.0,0.6992578604209561,0.523697119582163,0.04741720667990503
2023,19,frozen__ensemble__post_logit_intercept,frozen,ensemble,post_logit_intercept,245525,0.49995723449750534,0.5189112751915801,0.061469200592025715,0.2528779434541504,0.24999999817111176,-0.011511781216369421,0.0,0.6993738176414446,0.5233699975855345,0.032980935822225624
2023,20,frozen__ensemble__members_logit_intercept,frozen,ensemble,members_logit_intercept,245525,0.49995723449750534,0.5189483400788075,0.061951695908834536,0.2529434803335113,0.24999999817111176,-0.011773928735730799,0.0,0.6995209271931536,0.5232734438333113,0.02170032539862567
2023,21,frozen__ensemble__raw_weighted,frozen,ensemble,none,245525,0.49995723449750534,0.5220905361600874,0.06137131899042287,0.25299530162098105,0.24999999817111176,-0.011981213887126252,0.0,0.69963953124991,0.5233699975855345,0.032980935822225624
2023,22,frozen__ensemble__post_platt,frozen,ensemble,post_platt,245525,0.49995723449750534,0.5187204929010871,0.06272873811150276,0.2529994716213845,0.24999999817111176,-0.011997893888862077,0.0,0.6996504913491961,0.5233699975855345,0.032980935822225624
2023,23,frozen__ensemble__post_affine_brier,frozen,ensemble,post_affine_brier,245525,0.49995723449750534,0.5187077398925454,0.06278710128402003,0.2530036907401824,0.24999999817111176,-0.012014770364177307,0.0,0.6996601713292416,0.5233699975855345,0.032980935822225624
2023,24,frozen__hgb__logit_intercept,frozen,hgb,logit_intercept,245525,0.49995723449750534,0.5190218260406585,0.06286251802931457,0.25306839586120794,0.24999999817111176,-0.012273590850172766,0.0,0.6998019737420609,0.5230884548009846,
2023,25,frozen__hgb__platt,frozen,hgb,platt,245525,0.49995723449750534,0.5190109125767249,0.0629299311455875,0.2530750204114224,0.24999999817111176,-0.012300089051224372,0.0,0.6998171085152861,0.5230884548009846,
2023,26,frozen__hgb__affine_brier,frozen,hgb,affine_brier,245525,0.49995723449750534,0.5190066436165947,0.0630354818237343,0.25308241915340546,0.24999999817111176,-0.012329684019373177,0.0,0.6998335184160349,0.5230884548009846,
2023,27,frozen__hgb__raw,frozen,hgb,none,245525,0.49995723449750534,0.5225303739089704,0.06274899818936423,0.25319874945855275,0.24999999817111176,-0.01279500524336652,0.0,0.7000993588619231,0.5230884548009846,
2023,28,refit__ensemble__members_platt,refit,ensemble,members_platt,245525,0.49995723449750534,0.518049719327533,0.066880823542246,0.25334736192862056,0.24999999817111176,-0.013389455127986505,0.0,0.7004450993992735,0.5240810320332316,0.048434546167074134
2023,29,refit__ensemble__members_affine_brier,refit,ensemble,members_affine_brier,245525,0.49995723449750534,0.5180367791346427,0.06700548420050266,0.2533601553556893,0.24999999817111176,-0.01344062883663577,0.0,0.7004735619219695,0.524058537554179,0.04741720667990503
2023,30,refit__ensemble__post_logit_intercept,refit,ensemble,post_logit_intercept,245525,0.49995723449750534,0.5183114537468932,0.06691134323411518,0.2534109218809603,0.24999999817111176,-0.013643694939205364,0.0,0.7005840080711911,0.5237612327557271,0.032980935822225624
2023,31,refit__ensemble__members_logit_intercept,refit,ensemble,members_logit_intercept,245525,0.49995723449750534,0.5183029884749405,0.06744797331380646,0.25348565956770636,0.24999999817111176,-0.013942645688376443,0.0,0.7007543752940545,0.5236727983714055,0.02170032539862567
2023,32,refit__ensemble__raw_weighted,refit,ensemble,none,245525,0.49995723449750534,0.5214820116583802,0.0668007984588151,0.2535208797018985,0.24999999817111176,-0.014083526226175813,0.0,0.7008419072061919,0.5237612327557271,0.032980935822225624
2023,33,refit__ensemble__post_platt,refit,ensemble,post_platt,245525,0.49995723449750534,0.5181021767023403,0.06827243949156367,0.2535563891371005,0.24999999817111176,-0.01422556396802288,0.0,0.7009191179863745,0.5237612327557271,0.032980935822225624
2023,34,refit__ensemble__post_affine_brier,refit,ensemble,post_affine_brier,245525,0.49995723449750534,0.51808517726637,0.06834183406326255,0.25356203852264014,0.24999999817111176,-0.01424816151034669,0.0,0.7009321907960209,0.5237612327557271,0.032980935822225624
2023,35,refit__hgb__logit_intercept,refit,hgb,logit_intercept,245525,0.49995723449750534,0.5182871656270603,0.06846043459720154,0.25362784397381327,0.24999999817111176,-0.014511383316964777,0.0,0.7010793502577475,0.5235042504884329,
2023,36,refit__hgb__platt,refit,hgb,platt,245525,0.49995723449750534,0.5182751206497808,0.06853331057822946,0.25363577357879774,0.24999999817111176,-0.01454310173713469,0.0,0.7010976862473876,0.5235042504884329,
